Length;Prime;GenPrimeTime;ProbTestOnPrimeTime;TestOnCompTime
1;3;0.0000008730;0.0000008880;0.0000012230
2;7;0.0000138500;0.0000001890;0.0000003260
3;13;0.0000048290;0.0000011050;0.0000002620
4;19;0.0000051750;0.0000009470;0.0000002590
5;59;0.0000051770;0.0000009070;0.0000002600
6;113;0.0000057360;0.0000009650;0.0000002590
7;191;0.0000057240;0.0000010250;0.0000002510
8;409;0.0000067760;0.0000011610;0.0000002580
9;887;0.0000068820;0.0000014220;0.0000002560
10;1487;0.0000069220;0.0000014310;0.0000002580
11;3541;0.0000073840;0.0000015500;0.0000002580
12;7673;0.0000078450;0.0000016460;0.0000002650
13;8461;0.0000079350;0.0000016790;0.0000002590
14;29927;0.0000078240;0.0000016850;0.0000002590
15;38371;0.0000098890;0.0000017840;0.0000002660
16;76103;0.0000101930;0.0000018410;0.0000002630
17;224699;0.0000102770;0.0000017770;0.0000002760
18;513257;0.0000093760;0.0000020060;0.0000002570
19;666683;0.0000108850;0.0000021120;0.0000002650
20;1391029;0.0000138410;0.0000021800;0.0000002610
21;4085791;0.0000104190;0.0000021650;0.0000002700
22;7141781;0.0000108130;0.0000023480;0.0000002590
23;12695803;0.0000107760;0.0000023880;0.0000002580
24;20286157;0.0000121580;0.0000026050;0.0000002630
25;33847589;0.0000121920;0.0000025490;0.0000002600
26;91623913;0.0000131910;0.0000025990;0.0000002630
27;211721231;0.0000140760;0.0000026160;0.0000002770
28;386203303;0.0000248240;0.0000028410;0.0000002740
29;839570371;0.0000127820;0.0000027830;0.0000002730
30;1555055837;0.0000232150;0.0000026780;0.0000002650
31;2504357399;0.0000144880;0.0000030140;0.0000002710
32;7921411181;0.0000142930;0.0000027730;0.0000002600
33;15420649271;0.0000135570;0.0000029990;0.0000002580
34;20268768613;0.0000146620;0.0000031290;0.0000002630
35;35007145919;0.0000156740;0.0000034770;0.0000002610
36;125468867959;0.0000168930;0.0000032890;0.0000002650
37;151748170027;0.0000148150;0.0000035850;0.0000002510
38;516122362277;0.0000151730;0.0000034230;0.0000002550
39;555105322081;0.0000151410;0.0000034540;0.0000002590
40;1320390839407;0.0000182240;0.0000039210;0.0000002590
41;3209584797241;0.0000173800;0.0000036230;0.0000107390
42;4441954590877;0.0000194360;0.0000040340;0.0000002810
43;11164476342179;0.0000172770;0.0000040830;0.0000002690
44;22432808099761;0.0000172020;0.0000043220;0.0000002710
45;69001304609663;0.0000168960;0.0000039510;0.0000002680
