1;1;0.0000013550;0.0000008840
2;1;0.0000010590;0.0000007870
3;3;0.0000007470;0.0000006800
4;6;0.0000008580;0.0000007600
5;20;0.0000009770;0.0000008370
6;50;0.0000010760;0.0000008550
7;175;0.0000011260;0.0000009210
8;490;0.0000012490;0.0000009280
9;1764;0.0000012760;0.0000010030
10;5292;0.0000021710;0.0000015030
11;19404;0.0000021640;0.0000015560
12;60984;0.0000022400;0.0000015750
13;226512;0.0000021130;0.0000016200
14;736164;0.0000023530;0.0000018440
15;2760615;0.0000024440;0.0000017970
16;9202050;0.0000028760;0.0000021430
17;34763300;0.0000027300;0.0000019560
18;118195220;0.0000028500;0.0000019150
19;449141836;0.0000032370;0.0000015700
20;1551580888;0.0000025590;0.0000014810
