Length;Fraction;S;T;Time
123;0.000000000000335928345906245985187675943105460811744542907947056492551214332194935506173162046829681963987530054135737842804;3881868375682492669338233175963934127916853482509;11555644002622751842221943084069781926525287536928080964029583;0.984375
124;0.0000000000001658372197121121356015308532267929612100800598124302004196539748940877560380949354786147397054465847875217769493;6858553816017426420606010045453489761826209596493;41357144240138892544864445158117324400427342216429385522695490;1.171875
125;0.00000000000011495502396988136009548749983852153167305221502628367453778840358931709335736494009786522353791050936559619917594;22298482753922929621741138460094368705948423799073;193975713142952449612943719186122643434111567127852662872068607;1.265625
126;0.000000000000750320388594037795906876909179859040525807493401147106438010453594270823012575185316084875755024804954124790224770;507798890895069232111976632766027533457286641048669;676776079411344293067462498197470780251964873653940692068947231;1.125000
127;0.0000000000001717851574372922525040884433522050432688156238911568187199204128004600398545448098970984920807302507027900641512970;248086660303853720212869753569057687758261502379544;1444168192437779466284128988010209196893903826047211972639130653;1.390625
128;0.00000000000063636766332481719067133817913018303467325482793654641987601355686824653394892015594750901413298639951107692246932341;309083092728440524701594175743649647838147503447763;485698929316396083075273333458780703902120679633349722217814268;1.203125
129;0.000000000000801689576382145409118555430977911984792599476874962367188134848854410121020501087052542429856610416653146291677770577;4937044553552662926164155938129446519274046001826052;6158299545108837771671270079851983520282259249335391786383058831;1.171875
130;0.0000000000000033731517804193080821063854941580858115162917054276827958183793583095693898173686326087048181387895196695528162788050;79862178912057176817947540608436876471573783986946;23675833200167977204546194121859113523577662016956239219632840735;1.328125
131;0.00000000000009973365383926659149874427272098162274839846868758757173709692201615596467268692884407998411567320889313610152220427183;18769470346404915918670184089832071574806895812290269;188195956167958043728138164267086993744984816853521754238065543263;1.468750
132;0.000000000000034963322652245623857811000379678871523166421972828260794186107895184164757930449507496475585021702181266081182808852803;16008977659178478503889435697208479081356565254570571;457879184378669287698652234085110220111877152812477204874972420518;1.218750
133;0.0000000000000735432545188401829762241742142947031617725377913824722274188173210915789173787465219997260251001098415095243001687170277;143320517798537565644948171035874360511261298578516470;1948792159610259901882093193010592293085735611502791221005551657027;1.296875
134;0.00000000000006459605585433637627967508507366251703725454606757881692238211647868237119707904077969818217336931648851103696968954842686;154509908994727060144164976749442710670372433052327987;2391940296527480740604756598354716650426512166742455847125637543491;1.468750
135;0.000000000000033160692033666486006987849780110349703270522901556739685966036213875997522703552652709557773655613530617384346485251630447;590834341625334865170493667615386728489361525937043125;17817310357259391189594616647331826742893440676908615766675043344257;1.515625
136;0.0000000000000246166633165568891470455547529802652589986300138688259714209817656533563557010373134960219888750903725235779011445956476800;788414454404668279594695587732025623755228828676607032;32027673461105902214675550117434781148752113920980002849993603796447;1.437500
137;0.00000000000000867833826385670611395013886797060146428226879293860668867331150403444249137123814150266073720085991956939347565267248828077;761542163931327657360448642025107990743411448406404917;87752071972462353048734523864214903368608247054355347168385955617744;1.671875
138;0.000000000000016667407513396290706373005911222051881275501208720973062392933346654022539578946342056985289923706301675639063657111063887489;7248673249686595336835629521655277138928561362369268824;434901063279369287913220828196682563597147788231169246537777932446735;1.375000
139;0.0000000000000095652487083871827560242763686453086988216326062886261348725157174804641564565049217777635217961569618047573574058431638010339;13393954404324125947452679378904828600581268269925975905;1400272466786962356794914537221160374658369178964260347940070739954328;1.687500
140;0.00000000000000237893703713304983870842864867577150058982876358010729386073608660993280755260950745560890377353464251515481305650975793483860;1458086661251324859916048334143683079250808261090270530;612915196363718049885450068015378968110835232971337298455074990410619;1.781250
141;0.000000000000007965573603399301183882083608515963694499781523075445320775266014118656946222105089778214380787990060810604873597864865331863973;166853289580076827204913203341744020555487466466473247499;20946801559761162694457309074429728343386569853478323389579501933432107;1.781250
142;0.0000000000000017525021503875324908533750502813631860977289238986025774422645483415078874278198020247570700543440825038147304770957750893849065;26748365894961910665374143437114229642109043000982756707;15262957531348545686783529092092339184224297187256663064127911957553381;1.859375
143;0.00000000000000083022671410523347842687173220155671382736347569282416854448110358990928301454154687493562836665573198972262159478995222718410985;5342672948968131327258086389872649283592716039721530253;6435197589041844660034625730999911294242363559503943122656750567146635;1.562500
144;0.000000000000007845597563194466129810453282017279180550018581475120175913593215974542745559855169972893111689861131196721558910448363311239306062;4178811322848878821019568988138499492204130419052736366067;532631362899960672028258427487394678058718451156662336776809226762767638;1.703125
145;0.0000000000000064312932292490655226550686843665519686885923893681041779129539018575708652258560136873466578684439523776707968024584897210963361848;14072414787213630034232716576886478593693003917826852988769;2188115871192637515975446960362742590933955280843468493989093991160607383;1.687500
146;0.00000000000000236775326516442300694802653341815333635327497644152007553125988606337304454415072978389965467721015537687384794013570177041910063830;9959971856375632334344475211200122575224343276696174920787;4206507495063674095812806338425450015381277565864080553466231702467813713;1.687500
147;0.000000000000002515684133867828244698701626445298416589038552424503424180411236015984739685447981222727828338106999746195899197934503942847276220891;15072955122560463353637191934660037996928475560636476898393;5991592871155096572417508084865124770048981311945110957035299098967276226;1.656250
148;0.0000000000000037354854142346311356681100371129694301797515820459051107975622964440936312577886079499492987328370844734631224095531217084376193650402;232970643445249334394474451992923614620393347629423928287550;62366899508556377924778847840432598823723027348953127391894486273514723293;1.640625
149;0.00000000000000355667660643459869629620694362905167378313252016173951733666534747261981176825017067465951427068184951810241563689305010578669383105006;778700967461500608138982497346478404050208963887093765601433;218940616094447722700276105308397805345909351141523388828029009069307170496;1.703125
150;0.000000000000000050503608676194463634570793804260019808212164930579892688903293453099874686686025691217993177484257693221278485918175983677855000764266;13705653823447208017624948495832555247475799675251130736175;271379693109089592062604400334709850492925939545237190371225160591921301056;1.796875
151;0.0000000000000009033985910701234716368824523022863104451228919984478688394095578088735909037267991232979053433517155764546205016641777926432831611113569;825019346958236432273215602588924157321740378369774296095623;913239576764180389024222049125757547277090723447203250839954160775820578827;2.046875
152;0.00000000000000030038113208389307541071872859993646933134582054250909714210356968483107602363582110319472973602930867626107651724333292068379550278127707;388003022831088938965897168503233118160127950456771755272429;1291702378705743921029405509045029933963512768134839462604230315361043847028;1.875000
153;0.000000000000000173173828822775368411722927751131024843492757857184760625512844438859137997560871509963204898304470625740330988653556020690704316718241540;3497475836278274322379830824631570853135621383114971910327593;20196330242588569829785126612949502294210980862373826685908184480502307672461;1.796875
154;0.0000000000000000489627488042470454396843050883458409395014088209325140092145234195654790801046786689067448830136898607232269115452483499784752817011890901;1918998825882213810429387378602112035069262284615869629535527;39193037007672232677806169659919330858537342437375826742133308712424624928550;1.890625
155;0.00000000000000036261066553629491878710290114302384539424702498337706388027569075072730529748431344800864185807585550941557110715488116527138492649617253613;62418524885116338183408516843372051638934532248304734105944458;172136483610597654884655910337202079878947981722552868344640446378278486458777;1.796875
156;0.000000000000000928290785792591811626401893928712067252094493884670928749660193631126889595484559145405141659036479972378671297707963185148282519385426582768;424203344461076738242089065390520747938795154053381280297974791;456972482064317907474776762312645227416996015971595327040055187483277864702259;2.015625
157;0.0000000000000004485354348091286033726199007154617539018644750135408675204224612979208460357277933126182323585757442343499371895656228819836901007111893890817;586543361989016493953033434332537046229668722830211007569482203;1307685673125505200569302317461066268591404309311095151415632020244689906026929;2.078125
158;0.00000000000000050467455185544059198611839786455906983919744527322625911143023097180357228188331768886737325685938040407244785426176338320841954656235775540303;3057477487463268796033902895287585968594927936166093329584708114;6058315158199328522641108508192291745384711558533590037896470326219032366991839;2.343750
159;0.000000000000000647894244610452096004861266390412541523420178141008791065118557856395157466117221251177501071421753188681108928939817030676934505266100889034643;3903507407824653610336955772556969878212693853920574129684118159;6024914467594393299385363255198779743540266621453295199251138147951396331221084;1.843750
160;0.0000000000000000139448310775216855438767124010874244439769560297621031448488328734254159363342160540008720702337205196144570794268145213082791649034964956585446;677160786583222257461811958535821667868742314991222370279724551;48559984901844301869677526195064573995977021176587040251748530937756255323364348;2.093750
161;0.00000000000000009281424279769414395770506661985513480655324882467210082107258852738409614988772553524230054361762284193083143494844134945042218198299398719142305;10594408344328655855008226332364407520522693516209847348022532769;114146364016793561970236175106423398695846142209815376249253293084188325919472847;2.484375
162;0.000000000000000093700216221315863264324104173928423460137955520134758440713725588522246633017181009524904654971083076402590975571075068705302250807504629736548384;55881521106075338114658756511353085300161473790212997753992764441;596386255652661452839255952861049529051183807242224675383356259817826196777714602;2.156250
163;0.0000000000000000876528183099115864712243477486449113249983887191771239583496236837541229689363021560428066566860134580876976960794412717559358621124485651250038099;33580595371807335082159031289660261134692899958319219506877412575;383109134643878481728411215904397970644677046519823678342348473369123461417114248;2.390625
164;0.00000000000000003055896897637679879585711143257381117682026824917460985199892940867301997713605092954400567549858886846101439629545437265104492847362842189457701956;143717389763774297558019361147608963296243731391514595412900186383;4702952834399390196005311777237239370458256375472844272637874062448956929090909489;2.203125
165;0.000000000000000060060777768182812838972252399860846543161220697147217447636066253895307723451856400442873975635246494155665804528433295680027085715377870691940746225;804889223045982619265809703439076163624665295708824577735359373443;13401245420973761565502036546022730037119512176347805958663609015625640260177108716;2.015625
166;0.0000000000000000607543507016659247311704004007934522642642562574524196118955714052232027825500946222113591124579122623758327441699903644783607841845490487677534503483;3647580720142897454952376911005245052674196699921159023807883474260;60038181266298651496679702981243266640482123954651991223505686187772564791969989037;2.609375
