Length;Input;Sum;Substract;Multipl;Divide1;Divide2;OutputToStr
7281;0.032642;0.000037;0.000038;0.009270;0.020212;0.021139;5.328544
7301;0.032847;0.000019;0.000025;0.009398;0.017609;0.016334;5.254399
7321;0.033007;0.000019;0.000025;0.009486;0.024661;0.022262;5.113130
7341;0.034197;0.000020;0.000026;0.006971;0.016825;0.017406;5.186496
7361;0.026271;0.000018;0.000021;0.007201;0.019595;0.019238;5.142557
7381;0.025335;0.000038;0.000042;0.006844;0.018193;0.018356;5.158768
7401;0.025837;0.000014;0.000019;0.006725;0.021412;0.021776;5.118143
7421;0.030733;0.000019;0.000021;0.007913;0.019967;0.019156;5.187105
7441;0.025250;0.000028;0.000032;0.010288;0.017866;0.017949;5.235105
7461;0.025599;0.000030;0.000024;0.006824;0.020774;0.020893;5.208652
7481;0.026013;0.000031;0.000030;0.010136;0.024039;0.022803;5.600378
7501;0.031721;0.000031;0.000032;0.012485;0.029012;0.030950;5.461342
7521;0.034631;0.000033;0.000038;0.009767;0.022333;0.023198;5.510438
7541;0.024720;0.000040;0.000038;0.006913;0.013947;0.015019;5.516363
7561;0.028280;0.000031;0.000040;0.010850;0.023596;0.021397;5.274186
7581;0.035041;0.000043;0.000035;0.011082;0.016433;0.015971;5.335300
7601;0.028178;0.000019;0.000023;0.007498;0.014668;0.014632;5.325729
7621;0.025923;0.000025;0.000027;0.007336;0.016894;0.020274;5.423798
7641;0.026217;0.000014;0.000019;0.007016;0.016116;0.015789;5.524346
7661;0.036124;0.000039;0.000041;0.009152;0.022446;0.022625;5.647413
7681;0.031564;0.000021;0.000035;0.007329;0.015199;0.015684;5.147487
7701;0.028397;0.000035;0.000050;0.007734;0.015602;0.014963;5.068197
7721;0.030287;0.000025;0.000026;0.008288;0.021647;0.023214;5.645840
7741;0.036015;0.000035;0.000030;0.010118;0.018558;0.018461;5.853049
7761;0.037290;0.000019;0.000024;0.009854;0.024366;0.024418;5.731694
7781;0.028055;0.000015;0.000020;0.007362;0.017309;0.019255;5.226486
7801;0.027020;0.000026;0.000031;0.007438;0.019824;0.019803;4.698781
7821;0.031290;0.000015;0.000018;0.007049;0.024992;0.025542;5.868224
7841;0.036460;0.000038;0.000032;0.009426;0.027475;0.023606;5.951930
7861;0.038186;0.000020;0.000025;0.010331;0.029429;0.030692;5.380710
7881;0.038438;0.000029;0.000028;0.010747;0.025571;0.025822;5.119065
7901;0.028235;0.000014;0.000021;0.007617;0.020359;0.020851;4.804799
7921;0.031038;0.000033;0.000041;0.008778;0.018995;0.018460;5.268949
7941;0.030997;0.000016;0.000022;0.011708;0.017458;0.018276;5.755936
7961;0.029348;0.000021;0.000020;0.007502;0.018299;0.018249;5.405849
7981;0.034841;0.000040;0.000025;0.008415;0.021006;0.019531;5.610080
8001;0.029210;0.000015;0.000019;0.007494;0.029626;0.028496;5.494169
8021;0.039496;0.000031;0.000028;0.011275;0.022036;0.018596;5.654660
8041;0.037596;0.000016;0.000020;0.007648;0.032767;0.031411;5.859036
8061;0.034342;0.000028;0.000025;0.007881;0.020074;0.018475;5.848894
8081;0.042727;0.000022;0.000028;0.010807;0.022895;0.022276;6.058515
8101;0.031496;0.000027;0.000038;0.011540;0.033972;0.031009;5.742974
8121;0.037434;0.000026;0.000022;0.009604;0.027901;0.027579;6.107897
8141;0.036069;0.000020;0.000026;0.011417;0.022516;0.022926;5.708102
8161;0.035117;0.000025;0.000026;0.009850;0.031661;0.031993;5.924966
8181;0.035328;0.000040;0.000056;0.009272;0.032237;0.031060;6.190686
8201;0.037784;0.000022;0.000024;0.009910;0.025494;0.020547;5.923488
8221;0.038561;0.000035;0.000032;0.009754;0.030179;0.032893;5.914281
8241;0.035935;0.000037;0.000056;0.009014;0.024791;0.024753;5.808158
8261;0.031519;0.000040;0.000038;0.009639;0.031465;0.031051;5.929970
8281;0.038680;0.000056;0.000064;0.008873;0.019327;0.019689;6.041826
8301;0.040236;0.000020;0.000025;0.009926;0.023355;0.024116;6.108206
8321;0.040088;0.000029;0.000023;0.008237;0.018123;0.017906;6.128555
8341;0.034827;0.000026;0.000026;0.008361;0.031645;0.030917;6.181078
8361;0.037793;0.000015;0.000020;0.012574;0.025015;0.023972;6.387100
8381;0.040533;0.000017;0.000022;0.009423;0.023386;0.025406;6.449841
8401;0.038975;0.000047;0.000052;0.009908;0.026903;0.026786;6.168327
8421;0.041708;0.000018;0.000022;0.009012;0.021288;0.021987;6.348074
8441;0.039349;0.000050;0.000047;0.011717;0.030902;0.029996;6.318200
8461;0.040557;0.000034;0.000033;0.010720;0.023137;0.020388;6.372597
8481;0.038531;0.000017;0.000023;0.009330;0.030732;0.030972;6.503436
8501;0.039728;0.000016;0.000021;0.008658;0.026562;0.028421;6.485121
8521;0.041391;0.000026;0.000030;0.009476;0.021848;0.022269;6.612365
8541;0.046253;0.000019;0.000025;0.010168;0.024053;0.027582;6.506214
8561;0.036167;0.000034;0.000035;0.011209;0.024877;0.028389;6.604076
8581;0.035146;0.000032;0.000045;0.009329;0.018881;0.018995;6.767839
8601;0.044473;0.000023;0.000030;0.010289;0.027563;0.024307;6.905449
8621;0.038948;0.000021;0.000029;0.010782;0.034433;0.033389;6.593676
8641;0.039688;0.000025;0.000028;0.009668;0.020189;0.020876;6.576501
8661;0.040682;0.000028;0.000031;0.009651;0.029609;0.024231;6.563392
8681;0.040836;0.000038;0.000041;0.011507;0.024144;0.024475;6.954970
8701;0.037362;0.000048;0.000049;0.013334;0.029229;0.028150;6.830080
8721;0.040227;0.000016;0.000022;0.013153;0.023790;0.025264;6.805359
8741;0.044119;0.000036;0.000036;0.010577;0.024572;0.021675;7.000011
8761;0.045630;0.000021;0.000028;0.010793;0.027629;0.028835;7.116137
8781;0.038817;0.000024;0.000030;0.013684;0.039301;0.036594;6.796623
8801;0.045316;0.000041;0.000028;0.010075;0.027260;0.028943;6.827436
8821;0.038307;0.000058;0.000038;0.015748;0.035847;0.033229;6.905356
8841;0.044300;0.000039;0.000041;0.013852;0.021677;0.020001;6.802757
8861;0.038393;0.000020;0.000024;0.010255;0.027469;0.029066;6.879042
