Length;Input;Sum;Substract;Multipl;Divide1;Divide2;OutputToStr
1681;0.001914;0.000009;0.000010;0.000520;0.001274;0.001460;0.476852
1701;0.001279;0.000008;0.000012;0.000337;0.000926;0.000869;0.416774
1721;0.001884;0.000008;0.000009;0.000541;0.001461;0.001491;0.515173
1741;0.001438;0.000009;0.000020;0.000521;0.001284;0.001316;0.524295
1761;0.001588;0.000008;0.000007;0.000347;0.001399;0.001526;0.534110
1781;0.001860;0.000008;0.000009;0.000595;0.001265;0.001385;0.504660
1801;0.001451;0.000006;0.000008;0.000369;0.001198;0.001253;0.531593
1821;0.001609;0.000007;0.000009;0.000418;0.000954;0.000900;0.431524
1841;0.001576;0.000007;0.000008;0.000385;0.001514;0.001579;0.466158
1861;0.001579;0.000006;0.000007;0.000393;0.001008;0.000934;0.443857
1881;0.001582;0.000007;0.000007;0.000415;0.001514;0.001530;0.460046
1901;0.001883;0.000012;0.000010;0.000446;0.001377;0.001423;0.563021
1921;0.002091;0.000006;0.000007;0.000501;0.001356;0.001359;0.592766
1941;0.002439;0.000016;0.000014;0.000725;0.001566;0.001681;0.570234
1961;0.001753;0.000007;0.000008;0.000443;0.001480;0.001483;0.553064
1981;0.002632;0.000022;0.000024;0.000662;0.001362;0.001709;0.573785
2001;0.001988;0.000011;0.000010;0.000491;0.001459;0.001473;0.539832
2021;0.002698;0.000007;0.000010;0.000669;0.001491;0.001412;0.654005
2041;0.002615;0.000013;0.000012;0.000725;0.001748;0.001635;0.657315
2061;0.002215;0.000009;0.000010;0.000913;0.002023;0.002001;0.672022
2081;0.002873;0.000012;0.000012;0.000755;0.002039;0.002238;0.673983
2101;0.002127;0.000006;0.000009;0.000566;0.001825;0.001609;0.621901
2121;0.003102;0.000018;0.000013;0.000829;0.001859;0.002041;0.660311
2141;0.002095;0.000010;0.000009;0.000528;0.001308;0.001354;0.711888
2161;0.002571;0.000017;0.000017;0.000797;0.002215;0.002116;0.712618
2181;0.003039;0.000014;0.000011;0.000987;0.002128;0.002415;0.735303
2201;0.003435;0.000011;0.000010;0.000549;0.001929;0.001345;0.709195
2221;0.002997;0.000010;0.000010;0.000906;0.002510;0.002401;0.730869
2241;0.003184;0.000013;0.000015;0.000866;0.002306;0.001881;0.722238
